Date,Open,High,Low,Close,Adj Close,Volume
2015-12-23,301.666992,302.632996,299.433014,300.266998,215.345993,2564007
2015-12-24,300.350006,302.833008,300.250000,301.367004,216.134903,1623843
2015-12-28,301.282990,302.666992,300.299988,301.100006,215.943420,1105779
2015-12-29,303.032990,305.299988,300.066986,300.867004,215.776306,2394339
2015-12-30,300.867004,302.416992,296.217010,297.233002,213.170059,1558794
2015-12-31,297.367004,300.532990,294.816986,297.433014,213.313538,9323469
2016-01-01,297.666992,300.799988,297.000000,298.683014,214.209961,828675
2016-01-04,296.299988,298.833008,291.666992,297.149994,213.110535,1803039
2016-01-05,297.632996,302.600006,293.433014,300.882996,215.787750,2981136
2016-01-06,302.467010,306.500000,298.666992,304.100006,218.094955,4543362
2016-01-07,305.282990,306.500000,293.282990,294.750000,211.389297,2516625
2016-01-08,297.333008,302.500000,296.799988,301.183014,216.002914,2025288
2016-01-11,300.833008,300.833008,295.132996,296.016998,212.297989,2300946
2016-01-12,296.016998,299.766998,294.117004,296.717010,212.800034,3757566
2016-01-13,298.967010,300.833008,289.333008,298.632996,214.174133,4658322
2016-01-14,293.666992,306.600006,292.833008,303.132996,217.401443,3237657
2016-01-15,303.600006,315.666992,303.217010,310.850006,222.935928,8973981
2016-01-18,310.183014,313.083008,296.516998,298.867004,214.341949,4099638
2016-01-19,299.333008,302.083008,294.000000,298.600006,214.150452,2877315
2016-01-20,297.666992,300.600006,291.833008,295.166992,211.688339,6322434
2016-01-21,297.333008,299.566986,288.500000,291.850006,209.309479,3249462
2016-01-22,293.000000,296.100006,290.566986,294.416992,211.150482,2362179
2016-01-25,294.516998,295.549988,289.350006,292.632996,209.871017,2871777
2016-01-27,292.933014,296.166992,289.617004,290.200012,208.126129,5216286
2016-01-28,290.500000,292.500000,287.000000,289.632996,207.719482,6811221
2016-01-29,289.632996,302.166992,288.566986,297.717010,213.517197,4697028
2016-02-01,297.000000,297.750000,290.566986,293.382996,210.408951,2774454
2016-02-02,291.000000,291.433014,281.867004,283.433014,212.319153,2839425
2016-02-03,281.882996,285.799988,275.166992,276.516998,207.138351,4254372
2016-02-04,278.333008,284.000000,274.733002,277.250000,207.687469,5064285
2016-02-05,278.933014,282.166992,275.532990,281.000000,210.496582,2417334
2016-02-08,281.000000,284.367004,274.467010,275.066986,206.052139,1812996
2016-02-09,273.967010,279.833008,272.233002,274.967010,205.977249,5467233
2016-02-10,276.250000,280.632996,270.983002,279.183014,209.135452,2370072
2016-02-11,278.266998,279.183014,270.683014,272.583008,204.191391,3265755
2016-02-12,273.899994,274.233002,254.100006,257.600006,192.967667,7004490
2016-02-15,266.566986,269.532990,258.882996,259.916992,194.703323,4581294
2016-02-16,261.233002,261.233002,243.949997,250.332993,187.523941,6014403
2016-02-17,253.000000,261.833008,251.667007,260.316986,195.002960,6054804
2016-02-18,263.683014,266.583008,260.299988,263.250000,197.200058,6261795
